,Key,Aries_RAISA_ID,Aries_RSV_CAT,Aries_WELL_ID,Aries_OUTDATE,Aries_Gross Oil,Aries_Gross Gas,Aries_Gross NGL,Aries_Net Oil,Aries_Net Gas,Aries_Net NGL,Aries_Oil Price ($/Bbl),Aries_Gas Price ($/Mcf),Aries_NGL Price ($/Bbl),Aries_Net Revenue,Aries_OPEX,Aries_Ad Valorem,Net Oil Revenue $,Gross Oil Revenue $,Net Gas Revenue $,Gross Gas Revenue $,Net Ngl Revenue $,Gross Ngl Revenue $,Net Oil Production Bbl,Gross Oil Production Bbl
0,W0014743677,W00147,1PDP,,31-Jul-19,226.4013214,110742.4297,0.110742405,0.21440205,104.8730774,0.000104873,48.36000061,2.848124981,50,309.0653381,8.313254356,0,9.96,10517.56,262.74,298368.14,0,0,0.17,186.92
1,W0014743677,W00147,1PDP,,31-Jul-19,226.4013214,110742.4297,0.110742405,0.21440205,104.8730774,0.000104873,48.36000061,2.848124981,50,309.0653381,8.313254356,0,0,10517.56,262.74,298368.14,0,0,0,186.92
2,W0014743677,W00147,1PDP,,31-Jul-19,226.4013214,110742.4297,0.110742405,0.21440205,104.8730774,0.000104873,48.36000061,2.848124981,50,309.0653381,8.313254356,0,9.96,10517.56,262.74,298368.14,0,0,0.17,186.92
3,W0014743677,W00147,1PDP,,31-Jul-19,226.4013214,110742.4297,0.110742405,0.21440205,104.8730774,0.000104873,48.36000061,2.848124981,50,309.0653381,8.313254356,0,9.96,10517.56,0,298368.14,0,0,0.17,186.92
4,W0029443677,W00294,1PDP,,31-Jul-19,384.3990784,49051.12891,0.049051117,0.078801811,10.05548191,1.01E-05,48.36000061,2.848124981,50,32.45062637,1.916119456,0,0,0,0,0,0,0,0,0
5,W0029443677,W00294,1PDP,,31-Jul-19,384.3990784,49051.12891,0.049051117,0.078801811,10.05548191,1.01E-05,48.36000061,2.848124981,50,32.45062637,1.916119456,0,0,0,0,0,0,0,0,0
6,W0029443677,W00294,1PDP,,31-Jul-19,384.3990784,49051.12891,0.049051117,0.078801811,10.05548191,1.01E-05,48.36000061,2.848124981,50,32.45062637,1.916119456,0,0,0,0,0,0,0,0,0
7,W0032243677,W00322,1PDP,,31-Jul-19,1240.380493,15645.2627,1298.556763,7.679195881,77.48786163,8.039365768,46,2.336249828,20,695.0614014,61.91250229,0,223.27,72120.93,140.68,22721.55,122.61,19802.52,3.84,1239.9
8,W0032243677,W00322,1PDP,,31-Jul-19,1240.380493,15645.2627,1298.556763,7.679195881,77.48786163,8.039365768,46,2.336249828,20,695.0614014,61.91250229,0,223.27,72120.93,140.68,22721.55,122.61,19802.52,3.84,1239.9
9,W0032243677,W00322,1PDP,,31-Jul-19,1240.380493,15645.2627,1298.556763,7.679195881,77.48786163,8.039365768,46,2.336249828,20,695.0614014,61.91250229,0,223.27,72120.93,140.68,22721.55,122.61,19802.52,3.84,1239.9
10,W0032243677,W00322,1PDP,,31-Jul-19,1240.380493,15645.2627,1298.556763,7.679195881,77.48786163,8.039365768,46,2.336249828,20,695.0614014,61.91250229,0,0,72120.93,0,22721.55,0,19802.52,0,1239.9
11,W0045343677,W00453,1PDP,,31-Jul-19,2929.999756,6804.838379,564.8015747,10.91424942,20.27841949,2.103885889,46,2.336249828,20,591.508606,37.25250244,0,575.87,154887.69,53.92,14476.32,42.15,11314.94,10.45,2811.97
12,W0045343677,W00453,1PDP,,31-Jul-19,2929.999756,6804.838379,564.8015747,10.91424942,20.27841949,2.103885889,46,2.336249828,20,591.508606,37.25250244,0,575.87,154887.69,53.92,14476.32,42.15,11314.94,10.45,2811.97
13,W0045343677,W00453,1PDP,,31-Jul-19,2929.999756,6804.838379,564.8015747,10.91424942,20.27841949,2.103885889,46,2.336249828,20,591.508606,37.25250244,0,575.87,154887.69,53.92,14476.32,42.15,11314.94,10.45,2811.97
14,W0045343677,W00453,1PDP,,31-Jul-19,2929.999756,6804.838379,564.8015747,10.91424942,20.27841949,2.103885889,46,2.336249828,20,591.508606,37.25250244,0,0,154887.69,0,14476.32,0,11314.94,0,2811.97
